🍇,葡萄,GRAPES,2010
🍈,瓜果,MELON,2010
🍉,西瓜,WATERMELON,2010
🍊,柑橘,TANGERINE,2010
🍋,柠檬,LEMON,2010
🍌,香蕉,BANANA,2010
🍍,菠萝,PINEAPPLE,2010
🍎,红苹果,RED APPLE,2010
🍏,青苹果,GREEN APPLE,2010
🍐,雪梨,PEAR,2010
🍑,桃子,PEACH,2010
🍒,樱桃,CHERRIES,2010
🍓,草莓,STRAWBERRY,2010
🍅,番茄,TOMATO,2010
🥝,猕猴桃,KIWIFRUIT,2016
🥑,牛油果,AVOCADO,2016
🍆,茄子,AUBERGINE,2010
🥔,土豆,POTATO,2016
🥕,胡萝卜,CARROT,2016
🌽,玉米,EAR OF MAIZE,2010
🌶,辣椒,HOT PEPPER,2014
🥒,黄瓜,CUCUMBER,2016
🍄,蘑菇,MUSHROOM,2010
🥜,花生,PEANUTS,2016
🌰,栗子,CHESTNUT,2010
🍞,面包,BREAD,2010
🥐,牛角包,CROISSANT,2016
🥖,法式长棍面包,BAGUETTE BREAD,2016
🥞,松饼,PANCAKES,2016
🧀,奶酪,CHEESE WEDGE,2015
🍖,瘦肉,MEAT ON BONE,2010
🍗,大腿肉〔*鸡脾(髀) / 鸡腿〕,POULTRY LEG,2010
🥓,培根/ 熏肉/ 烟肉,BACON,2016
🍔,汉堡包,HAMBURGER,2010
🍟,炸薯条,FRENCH FRIES,2010
🍕,薄饼/ 披萨,SLICE OF PIZZA,2010
🌭,热狗,HOT DOG,2015
🌮,墨西哥夹饼、玉米饼,TACO,2015
🌯,墨西哥卷饼、卷饼,BURRITO,2015
🥙,酿大饼/ 带馅扁面包,STUFFED FLATBREAD,2016
🥚,蛋,EGG,2016
🍳,烹饪/ 煎蛋,COOKING,2010
🥘,浅平底锅中的食物,SHALLOW PAN OF FOOD,2016
🍲,火锅/ 锅饭/ 锅汤,POT OF FOOD,2010
🥗,沙拉/ 沙律,GREEN SALAD,2016
🍿,爆米花/ 玉米花/ 爆谷,POPCORN,2015
🍱,便当/ 饭盒,BENTO BOX,2010
🍘,米饼/ 雪饼,RICE CRACKER,2010
🍙,饭团（团）,RICE BALL,2010
🍚,米饭,COOKED RICE,2010
🍛,盖浇饭/ 碟头饭/ 烩饭〔*咖喱饭/ 烧味饭〕,CURRY AND RICE,2010
🍜,拉面（面）,STEAMING BOWL,2010
🍝,意大利面/ 义大利面/ 义粉,SPAGHETTI,2010
🍠,烤地瓜/ 烤蕃薯,ROASTED SWEET POTATO,2010
🍢,肉串/ 关东煮,ODEN,2010
🍣,寿司,SUSHI,2010
🍤,炸虾/ 天妇罗,FRIED SHRIMP,2010
🍥,蒲鉾/ 鱼板/ 鱼糕/ 鸣门卷,FISH CAKE WITH SWIRL DESIGN,2010
🍡,团（团）子/ 烤串,DANGO,2010
🍦,冰淇淋[*雪糕],SOFT ICE CREAM,2010
🍧,刨冰,SHAVED ICE,2010
🍨,冰淇淋[*雪糕],ICE CREAM,2010
🍩,甜甜圈/ 冬甩,DOUGHNUT,2010
🥯,贝果/ 培果/ 焙果/ 百吉圈,bagel,2018
🍪,曲奇饼,COOKIE,2010
🎂,生日蛋糕[*蛋糕],BIRTHDAY CAKE,2010
🍰,水果蛋糕[*蛋糕],SHORTCAKE,2010
🧁,纸杯蛋糕/ 杯子蛋糕[*蛋糕],cupcake,2018
🍫,巧克力/ 朱古力,CHOCOLATE BAR,2010
🍬,糖果,CANDY,2010
🍭,棒棒糖,LOLLIPOP,2010
🍮,布丁/ 布甸/ 奶冻,CUSTARD,2010
🍯,蜂蜜/ 蜜罐,HONEY POT,2010
🍼,婴儿奶瓶/ 奶樽,BABY BOTTLE,2010
🥛,一杯鲜奶,GLASS OF MILK,2016
